SEKVENS	KODE	NIVEAU	TITEL	GENERELLE_NOTER	INKLUDERER	INKLUDERER_OGSÅ	EKSKLUDERER	PARAGRAF	MÅLEENHED
5458	6142	5	Socialvidenskab, kombination (RUC)						
5459	6910	5	Socialvidenskab (komb. HUM), cand.soc.						
5460	6912	5	Socialvidenskab (komb. NAT), cand.soc.						
5461	6913	5	Socialvidenskab (komb. SAM), cand.soc.						
5462	6914	5	Socialvidenskab (komb. HUM-TEK), cand.soc.						
5463	7011	5	Socialvidenskab, kand.						
5464	7012	5	Socialvidenskab, cand.rer.soc.						
5465	7111	5	Komparativ politik og velfærdsstudier, c.soc.						
5466	8860	5	Public policy (MPP), master						
5467	8885	5	Miljø- og energiret, master						
5468	8951	5	Politivirksomhed, master						
5469	703940	3	Psykologi, LVU						
5470	70394010	4	Psykologi, LVU						
5471	6140	5	Psykologi, kombination (RUC)						
5472	6282	5	Psykologi, gymnasie-hf lærer med. (RUC)						
5473	6920	5	Psykologi (RUC), cand.mag.						
5474	7025	5	Psykologi (komb. HUM), cand.soc.						
5475	7026	5	Psykologi (komb. SAM), cand.soc.						
5476	7027	5	Psykologi (komb. NAT), cand.soc.						
5477	7028	5	Psykologi (komb. HUM-TEK), cand.soc.						
5478	7151	5	Psykologi, mag.art.psych.						
5479	7155	5	Psykologi, c.psych.						
5480	9062	5	Pædagogikum i psykologi						
5481	703945	3	Sociologi, LVU						
5482	70394510	4	Sociologi, LVU						
5483	7135	5	Sociologi, c.scient.soc.						
5484	7141	5	Sociologi, mag.scient.soc						
5485	70394515	4	Kultursociologi, LVU						
5486	7133	5	Kultursociologi, c.soc.						
5487	7362	5	Kultursociologi, cand.phil.						
5488	7363	5	Kultursociologi, mag.art.						
5489	7364	5	Kultursociologi, cand.mag.						
5490	70394520	4	Socialt entrepreneurskab mv., LVU						
5491	6901	5	Socialt entreprenørskab og management, cand.soc.						
5492	7145	5	Socialt arbejde, c.soc.						
5493	7146	5	Avanceret udvikling i socialt arbejde, cand.soc.						
5494	7173	5	Kriminologi, cand.soc.						
5495	8897	5	Socialt entreprenørskab (MSE), master						
5496	8958	5	Vidensbaseret socialt arbejde, master						
5497	8975	5	Udsatte børn og unge, master						
5498	70394525	4	Sociologiske uddannelser i øvrigt, LVU						
5499	3157	5	Social Work,European Master						
5500	6012	5	Sundhedsfremme-sundhedsstrategier (komb. HUM), cand.mag.						
5501	6013	5	Sundhedsfremme-sundhedsstrategier (komb. SAM), cand.mag.						
5502	6014	5	Sundhedsfremme-sundhedsstrategier (komb. NAT), cand.mag.						
5503	6015	5	Sundhedsfremme-sundhedsstrategier (komb. HUM-TEK), cand.mag.						
5504	6016	5	Sundhedsfremme og sundhedsstrategier, cand.mag.						
5505	6153	5	Arbejdslivsstudier, kombination (RUC)						
5506	6407	5	Arbejdslivsstudier (komb. HUM), cand.soc.						
5507	6408	5	Arbejdslivsstudier (komb. SAM), cand.soc.						
5508	6409	5	Arbejdslivsstudier (komb. NAT), cand.soc.						
5509	6410	5	Arbejdslivsstudier (komb. HUM-TEK), cand.soc.						
5510	6424	5	Arbejdslivsstudier, kand.						
5511	6572	5	Uddannelsesvidenskab, c.soc.						
5512	6609	5	Ulandspædagogik, cand.phil.						
5513	6709	5	Sundhedsfremme og sundhedsstrategier, kombination (RUC)						
5514	6809	5	Ulandspædagogik, cand.mag.						
5515	7147	5	Sociale interventionsstudier, cand.soc.						
5516	8806	5	Myndighed og medborgerskab, master						
5517	8840	5	Køn og velfærd, master						
5518	8863	5	Arbejdsmarked og personaleforhold, master						
5519	703950	3	Økonomi, LVU						
5520	70395010	4	Økonomi, LVU						
5521	3078	5	Avanceret økonomi og finansiering, cand.oecon.						
5522	3079	5	Innovation og videnøkonomi, cand.oecon.						
5523	3081	5	Økonomi - Nationaløkonomi, cand.polit.						
5524	7045	5	Statsvidenskab, cand.polit.						
5525	7065	5	Økonomi, cand.oecon.						
5526	8856	5	Modern economics, master						
5527	703955	3	Erhvervsøkonomi uden nærmere angivelse, LVU						
5528	70395510	4	Erhvervsøkonomi uden nærmere angivelse, LVU						
5529	3363	5	Business Administration and Data Science, cand.merc.						
5530	5751	5	Business administration (MBA), master						
5531	5792	5	Language administration (MLA), master						
5532	6900	5	Rumlige design og samfund, cand.soc.						
5533	8319	5	Erhvervsøkonomi og bioentrepreneurskab, cand.merc.(bio)						
5534	8815	5	Language administration (MLA), master						
5535	8847	5	Food (MBA), master						
5536	8848	5	Business administration (MBA), master						
5537	8859	5	Byg (MBA), master						
5538	8862	5	Shipping og logistik, (EMBA) master						
5539	8901	5	Technology-market-organisation (TMO), master						
5540	8913	5	Transport og maritim management, master						
5541	8917	5	Corporate performance, master						
5542	8928	5	Business administration executive (EMBA), master						
5543	8980	5	Forretningsudvikling, master						
5544	703960	3	Erhvervsøkonomi, cand.merc., LVU						
5545	70396010	4	Erhvervsøkonomi, cand.merc., LVU						
5546	3024	5	Erhvervsøkonomi-business, language and culture, cand.merc.int.						
5547	3077	5	Erhvervsøkonomi-virksomhedskommunikation, cand.merc.(kom)						
5548	5652	5	Erhvervsøkonomi og jura, cand.merc.(jur.)						
5549	5653	5	Erhvervsøkonomi og politik, cand.merc.(pol.)						
5550	5657	5	Erhvervsøkonomi og informationsteknologi, cand.merc.(it)						
5551	5658	5	Erhvervsøkonomi og jura, cand.merc.						
5552	5662	5	Interpret, cand.merc.						
5553	5667	5	Erhvervsøkonomi og matematik, cand.merc.(mat.)						
5554	5703	5	Erhvervsøkonomi, cand.merc.						
5555	5717	5	Erhvervsøkonomi og psykologi, cand.merc.(psyk)						
5556	5782	5	Japansk, cand.merc.						
5557	5785	5	Erhvervsøkonomi og erhvervssprog, c.merc.int.						
5558	5786	5	Erhvervsøkonomi-filosofi, cand.merc.(fil.)						
5559	5787	5	Kommunikationsledelse og erhvervsøkonomi, cand.merc.						
5560	6906	5	E-business, cand.merc.it						
5561	8028	5	Business Administration and Data Science, c.merc.						
5562	703970	3	Erhvervsøkonomi-erhvervssprog, negot., LVU						
5563	70397010	4	Erhvervsøkonomi-erhvervssprog mv., negot., LVU						
5564	5532	5	Engelsk, cand.negot. (udelt 4år)						
5565	5533	5	Fransk, cand.negot. (udelt 4år)						
5566	5534	5	Tysk, cand.negot. (udelt 4år)						
5567	5535	5	Spansk, cand.negot. (udelt 4år)						
5568	5536	5	Arabisk, cand.negot. (udelt 4år)						
5569	5537	5	Polsk, cand.negot. (udelt 4år)						
5570	5962	5	Erhvervsøkonomi-erhvervssprog, engelsk, cand.negot.						
5571	5963	5	Erhvervsøkonomi-erhvervssprog, fransk, cand.negot.						
5572	5964	5	Erhvervsøkonomi-erhvervssprog, tysk, cand.negot.						
5573	5965	5	Erhvervsøkonomi-erhvervssprog, spansk, cand.negot.						
5574	5966	5	Arabisk, cand.negot.						
5575	5967	5	Polsk, cand.negot.						
