UDD,TEXT,UDD_UDDANNELSESNIVEAU,UDD_FAGOMRAADE_UNDER,UDD_UDDANNELSESTYPE_UNDER,UDD_ISCED_P,UDD_ISCED_F,OMR,MINI,PRIO,TP,L,UDD_HOVEDOMRAADE_DETALJERET,NRMA,AKTIV,AUDD,ATEXT,AUDD_UDDANNELSESNIVEAU,AUDD_FAGOMRAADE_UNDER,AUDD_UDDANNELSESTYPE_UNDER,AUDD_ISCED_P,AUDD_ISCED_F,PRIA,KOMP,AUDD_HOVEDOMRAADE_DETALJERET,UNDERVISNINGSSPROG
4001,"Handelseksamen, almen linie",30,401010,3010,351,0410,3,1,120,1,1,29151010,12,0,4001,"Handelseksamen, almen linie",30,401010,3010,351,0410,132,5,29151010,Dansk
4002,"Handelseksamen, sproglig linie",30,401010,3010,351,0410,3,1,120,1,1,29151010,12,0,4002,"Handelseksamen, sproglig linie",30,401010,3010,351,0410,132,5,29151010,Dansk
4003,"Handelseksamen, regnskabslinie",30,401010,3010,351,0410,3,1,120,1,1,29151010,12,0,4003,"Handelseksamen, regnskabslinie",30,401010,3010,351,0410,132,5,29151010,Dansk
4004,"Handelseksamen, butikslinie",30,401010,3010,351,0410,3,1,120,1,1,29151010,12,0,4004,"Handelseksamen, butikslinie",30,401010,3010,351,0410,132,5,29151010,Dansk
4005,Akademiøkonom i indkøb og import,50,404025,8530,554,0416,4,10,156,2,2,40382510,24,0,4005,Akademiøkonom i indkøb og import,50,404025,8530,554,0416,180,3,40382510,Dansk
4006,Akademiøkonom i logistik og transport,50,404030,8530,554,0416,4,10,156,2,2,40383510,24,0,4006,Akademiøkonom i logistik og transport,50,404030,8530,554,0416,180,3,40383510,Dansk
4007,"Hhx, 2-årig (gl. ordn.)",30,122010,2510,344,0011,3,1,132,1,1,20203010,12,0,5028,"1. år, hhx",30,122010,2510,341,0011,132,2,20203011,Dansk
4007,"Hhx, 2-årig (gl. ordn.)",30,122010,2510,344,0011,3,1,132,1,1,20203010,24,0,5029,"2. år, hhx",30,122010,2510,341,0011,144,2,20203012,Dansk
4007,"Hhx, 2-årig (gl. ordn.)",30,122010,2510,344,0011,3,1,132,1,1,20203010,24,0,5098,"3. år, hhx",30,122010,2510,344,0011,156,1,20203013,Dansk
4008,"Hhx, 1-årig",30,122010,2510,344,0011,3,1,156,1,1,20201010,12,0,4008,"Hhx, 1-årig",30,122010,2510,344,0011,168,1,20201010,Dansk
4009,Systemprogrammør,50,501015,4510,554,0612,4,10,150,2,2,40582015,30,0,4009,Systemprogrammør,50,501015,4510,554,0612,180,3,40582015,Dansk
4010,Edb-assistent,30,501015,3090,353,0612,3,1,132,1,1,30154510,24,0,4010,Edb-assistent,30,501015,3090,353,0612,156,3,30154510,Dansk
4010,Edb-assistent,30,501015,3090,353,0612,3,1,132,1,1,30154510,24,0,4995,Edb-assistent 2-årig,30,501015,3090,353,0612,156,3,30154510,Dansk
4011,Akademiøkonom i international handel,50,403010,8530,554,0414,4,10,156,2,2,40382510,24,0,4011,Akademiøkonom i international handel,50,403010,8530,554,0414,180,3,40382510,Dansk
4012,Akademiøkonom i international markedsføring,50,403010,8530,554,0414,4,10,156,2,2,40382510,24,0,4012,Akademiøkonom i international markedsføring,50,403010,8530,554,0414,180,3,40382510,Dansk
4013,Mikroinstruktør,50,271520,4010,554,0211,4,10,156,2,2,40244010,12,0,4013,Mikroinstruktør,50,271520,4010,554,0211,168,3,40244010,Dansk
4014,Datamatiker,50,501015,4010,554,0612,4,10,156,1,1,40582015,27,0,4014,Datamatiker,50,501015,4010,554,0612,186,3,40582015,Dansk
4014,Datamatiker,50,501015,4010,554,0612,4,10,156,1,1,40582015,27,0,4014,Datamatiker,50,501015,4010,554,0612,186,3,40582015,Dansk
4015,Eksportkonsulent,50,404030,4010,554,0416,4,10,156,2,2,40382510,30,0,4015,Eksportkonsulent,50,404030,4010,554,0416,186,3,40382510,Dansk
4016,Hotel- og rejselivstekniker,50,703510,4510,554,1018,4,10,156,2,2,40383010,24,0,4017,Hotel- og restaurationstekniker,50,703510,4510,554,1018,180,3,40383010,Dansk
4016,Hotel- og rejselivstekniker,50,703510,4510,554,1018,4,10,156,2,2,40383010,24,0,4018,Rejselivstekniker,50,703510,4510,554,1018,180,3,40383010,Dansk
4019,Eksporttekniker,50,404030,4010,554,0416,4,10,156,2,2,40382510,48,0,4019,Eksporttekniker,50,404030,4010,554,0416,204,3,40382510,Dansk
4020,Akademiøkonom i transport,50,404030,8530,554,0416,4,10,156,2,2,40383510,24,0,4020,Akademiøkonom i transport,50,404030,8530,554,0416,180,3,40383510,Dansk
4021,Akademiøkonom i afsætning,50,403010,8530,554,0414,4,10,156,2,2,40382510,24,0,4021,Akademiøkonom i afsætning,50,403010,8530,554,0414,180,3,40382510,Dansk
4022,Akademiøkonom i eksport,50,403010,8530,554,0414,4,10,156,2,2,40382510,24,0,4022,Akademiøkonom i eksport,50,403010,8530,554,0414,180,3,40382510,Dansk
4023,Akademiøkonom i indenlandsk afsætning,50,404025,8530,554,0416,4,10,156,2,2,40382510,24,0,4023,Akademiøkonom i indenlandsk afsætning,50,404025,8530,554,0416,180,3,40382510,Dansk
4024,Akademiøkonom i detailhandel,50,404015,8530,554,0416,4,10,156,2,2,40382510,24,0,4024,Akademiøkonom i detailhandel,50,404015,8530,554,0416,180,3,40382510,Dansk
4025,Akademiøkonom i udenrigshandel,50,404025,8530,554,0416,4,10,156,2,2,40382510,24,0,4025,Akademiøkonom i udenrigshandel,50,404025,8530,554,0416,180,3,40382510,Dansk
4026,Akademiøkonom i markedsføring og service,50,403010,8530,554,0414,4,10,156,2,2,40382510,24,0,4026,Akademiøkonom i markedsføring og service,50,403010,8530,554,0414,180,3,40382510,Dansk
4026,Akademiøkonom i markedsføring og service,50,403010,8530,554,0414,4,10,156,2,2,40382510,24,1,4030,Akademiøkonom i markedsføring og service una,50,403010,8530,554,0414,180,3,40382510,Dansk
4027,Akademiøkonom i økonomi og informatik,50,409020,8530,554,0418,4,10,156,2,2,40382010,24,0,4027,Akademiøkonom i økonomi og informatik,50,409020,8530,554,0418,180,3,40382010,Dansk
4028,"Akademiøkonon i service, hotel og turisme",50,701010,8530,554,1000,4,10,156,2,2,40383010,24,0,4028,Akademiøkonom i turisme,50,703015,8530,554,1015,180,3,40383010,Dansk
4030,"Labratorie-, kemo- og miljøtekniker",50,552010,4010,554,0711,4,10,156,1,1,40751510,18,0,4029,"Procesteknolog, kemisk-bioteknologisk",50,555055,4010,554,0722,174,3,40751510,Dansk
4030,"Labratorie-, kemo- og miljøtekniker",50,552010,4010,554,0711,4,10,156,1,1,40751510,18,0,4049,"Laboratorietekniker, biologi",50,452510,4010,554,0512,174,3,40751510,Dansk
4030,"Labratorie-, kemo- og miljøtekniker",50,552010,4010,554,0711,4,10,156,1,1,40751510,18,0,4050,"Laboratorietekniker, kemi",50,552010,4010,554,0711,174,3,40751510,Dansk
4030,"Labratorie-, kemo- og miljøtekniker",50,552010,4010,554,0711,4,10,156,1,1,40751510,18,0,4097,Miljøtekniker,50,552510,4010,554,0712,174,3,40583510,Dansk
4030,"Labratorie-, kemo- og miljøtekniker",50,552010,4010,554,0711,4,10,156,1,1,40751510,18,1,4099,"Laboratorie-, kemo- og miljøtekniker una",50,552010,4010,554,0711,174,3,40751510,Dansk
4030,"Labratorie-, kemo- og miljøtekniker",50,552010,4010,554,0711,4,10,156,1,1,40751510,18,0,5061,Laboratorietekniker,50,552010,4010,554,0711,174,3,40751510,Dansk
4031,"Htx, 2-årig (gl. ordn.)",30,122010,2520,344,0011,3,1,121,1,1,20204010,12,0,5081,"1. år, htx",30,122010,2520,341,0011,132,2,20204011,Dansk
4031,"Htx, 2-årig (gl. ordn.)",30,122010,2520,344,0011,3,1,121,1,1,20204010,24,0,5088,"2. år, htx",30,122010,2520,341,0011,144,2,20204012,Dansk
4031,"Htx, 2-årig (gl. ordn.)",30,122010,2520,344,0011,3,1,121,1,1,20204010,24,0,5092,"3. år, htx",30,122010,2520,344,0011,144,1,20204013,Dansk
4036,Laborant,50,552010,4010,554,0711,20,10,156,2,2,40751710,30,0,4036,Laborant,50,552010,4010,554,0711,186,3,40751710,Dansk
4037,Produktudvikler,50,309510,4010,554,0218,4,10,156,1,1,40585020,30,0,4037,Produktudvikler,50,309510,4010,554,0218,180,3,40585020,Dansk
4038,Trikotageassistent,30,555065,3020,353,0723,3,1,132,2,2,30557010,24,0,4038,Trikotageassistent,30,555065,3020,353,0723,156,3,30557010,Dansk
4039,Tekstilassistent,30,555065,3020,353,0723,3,1,132,2,2,30557010,24,0,4039,Tekstilassistent,30,555065,3020,353,0723,156,3,30557010,Dansk
4042,Datamatiker,50,501015,4010,554,0612,4,10,156,1,1,40582015,30,1,4014,Datamatiker,50,501015,4010,554,0612,186,3,40582015,Dansk
4043,Computer Science,50,501015,4010,554,0612,4,10,156,1,1,40582015,30,1,4014,Datamatiker,50,501015,4010,554,0612,186,3,40582015,Engelsk
4044,Farveriassistent,30,555065,3020,353,0723,3,1,132,2,2,30557010,30,0,4044,Farveriassistent,30,555065,3020,353,0723,162,3,30557010,Dansk
4045,Teknisk tegner,30,582055,3090,353,0732,3,1,132,2,2,30559020,6,0,4045,Teknisk tegner,30,582055,3090,353,0732,138,3,30559020,Dansk
4046,Laborant,50,552010,4010,554,0711,4,10,156,1,1,40751710,30,1,4036,Laborant,50,552010,4010,554,0711,186,3,40751710,Dansk
4047,Chemical and Biotechnical Science,50,552010,4010,554,0711,4,10,156,1,1,40751710,30,1,4036,Laborant,50,552010,4010,554,0711,186,3,40751710,Engelsk
4048,"Computerteknologi, bach.",60,501090,5020,645,0618,4,10,156,1,1,60593015,36,1,4048,"Computerteknologi, bach.",60,501090,5020,645,0618,192,3,60593015,Dansk
4051,"Amu.met, cykel-, knallert- og motorcykeltekniske område",30,572510,8520,351,0715,19,1,0,1,3,39501510,1,1,4051,"Amu.met, cykel-, knallert- og motorcykeltekniske område",30,572510,8520,351,0715,0,8,39501510,Dansk
4052,Levnedsmiddeltekniker,50,555030,4010,554,0721,4,10,156,2,2,40751510,30,0,4052,Fødevareteknolog,50,555030,4010,554,0721,180,3,40751510,Dansk
4053,Konfektionsassistent,30,555065,3020,353,0723,3,1,132,2,2,30557010,24,0,4053,Konfektionsassistent,30,555065,3020,353,0723,156,3,30557010,Dansk
4061,Bygningskonstruktør,60,582045,5510,655,0732,4,10,180,1,1,50581510,24,0,4061,"Bygningskonstruktør, prof.bach.",60,582045,5510,655,0732,198,3,50581510,Dansk
4061,Bygningskonstruktør,60,582045,5510,655,0732,4,10,180,1,1,50581510,24,0,4061,"Bygningskonstruktør, prof.bach.",60,582045,5510,655,0732,198,3,50581510,Dansk
4061,Bygningskonstruktør,60,582045,5510,655,0732,4,10,180,1,1,50581510,24,0,4079,Bygningskonstruktør una,60,582045,5510,655,0732,204,3,50581510,Dansk
4061,Bygningskonstruktør,60,582045,5510,655,0732,4,10,180,1,1,50581510,24,0,5046,"Bygningskonstruktør, anlægsteknik",60,582045,5510,655,0732,204,3,50581510,Dansk
4061,Bygningskonstruktør,60,582045,5510,655,0732,4,10,180,1,1,50581510,24,0,5047,"Bygningskonstruktør, byggeteknik",60,582045,5510,655,0732,204,3,50581510,Dansk
4063,Gastekniker,50,571510,4510,554,0713,4,1,172,1,1,40582510,6,0,4063,Gastekniker,50,571510,4510,554,0713,178,3,40582510,Dansk
4064,Elektroniktekniker,50,553520,4010,554,0714,4,10,180,1,1,40582020,18,0,4064,Elektroniktekniker,50,553520,4010,554,0714,198,3,40582020,Dansk
4064,Elektroniktekniker,50,553520,4010,554,0714,4,10,180,1,1,40582020,18,0,4064,Elektroniktekniker,50,553520,4010,554,0714,198,3,40582020,Dansk
4065,Maskintekniker,50,573015,4010,554,0715,4,10,180,1,1,40583015,18,0,4065,Maskintekniker,50,573015,4010,554,0715,198,3,40583015,Dansk
4065,Maskintekniker,50,573015,4010,554,0715,4,10,180,1,1,40583015,18,0,4066,"Maskintekniker, konstruktion",50,573015,4010,554,0715,198,3,40583015,Dansk
4065,Maskintekniker,50,573015,4010,554,0715,4,10,180,1,1,40583015,18,0,4067,"Maskintekniker, driftsteknik",50,573015,4010,554,0715,198,3,40583015,Dansk
4065,Maskintekniker,50,573015,4010,554,0715,4,10,180,1,1,40583015,18,0,4068,"Maskintekniker, værktøjskonstruktion",50,573035,4010,554,0715,198,3,40583015,Dansk
4065,Maskintekniker,50,573015,4010,554,0715,4,10,180,1,1,40583015,18,0,4081,"Maskintekniker, stålkonstruktion",50,573015,4010,554,0715,198,3,40583015,Dansk
4069,Vvs-tekniker,50,571510,4010,554,0713,4,10,180,1,1,40582420,18,0,4069,Vvs-installatør,50,571510,4010,554,0713,198,3,40582420,Dansk
4075,"Kunsthåndværk, guld- og sølvformgivning",50,303510,4510,554,0214,4,10,156,1,1,40305510,42,0,4075,"Kunsthåndværker, guld- og sølvformgivning",50,303510,4510,554,0214,198,3,40305510,Dansk
4080,Maskinist,30,801530,3090,353,1041,3,10,144,1,1,30901510,12,0,4080,Maskinist,30,801530,3090,353,1041,156,3,30901510,Dansk
4082,Maskinmester (gl.ordning),60,554020,5510,655,0718,4,10,150,1,1,50583010,36,0,4082,Maskinmester (gl.ordning),60,554020,5510,655,0718,186,3,50583010,Dansk
4083,"Maskinmester, udvidet",60,554020,6010,655,0718,4,10,168,1,1,50583010,12,0,4083,"Maskinmester, udvidet",60,554020,6010,655,0718,180,3,50583010,Dansk
4084,Grafonom i teknik og økonomi,60,271520,6010,655,0211,4,10,156,1,1,50244010,24,0,4084,Grafonom i teknik og økonomi,60,271520,6010,655,0211,180,3,50244010,Dansk
4085,Grafonom i kommunikation,60,271525,6010,655,0211,4,10,156,1,1,50242010,24,0,4085,Grafonom i kommunikation,60,271525,6010,655,0211,180,3,50242010,Dansk
