SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
5045;"80355020";4;Forsikringsvidenskab, Ph.d.;;;;;;
5046;"7030";5;Forsikringsvidenskab, ph.d.;;;;;;
5047;"8039";2;Samfundsvidenskab, Ph.d.;;;;;;
5048;"803910";3;Samfundsvidenskab uden nærmere angivelse, Ph.d.;;;;;;
5049;"80391010";4;Samfundsvidenskab uden nærmere angivelse, Ph.d.;;;;;;
5050;"0725";5;Samfundsvidenskab, ivu (ph.d.);;;;;;
5051;"803920";3;Antropologi, Ph.d.;;;;;;
5052;"80392010";4;Antropologi, Ph.d.;;;;;;
5053;"7335";5;Antropologi, ph.d.;;;;;;
5054;"803930";3;Jura, Ph.d.;;;;;;
5055;"80393010";4;Jura, Ph.d.;;;;;;
5056;"7090";5;Jura, ph.d.;;;;;;
5057;"9267";5;Dr.jur.;;;;;;
5058;"803935";3;Politologi, Ph.d.;;;;;;
5059;"80393510";4;Statskundskab, Ph.d.;;;;;;
5060;"7050";5;Statsvidenskab, ph.d.;;;;;;
5061;"7120";5;Samfundsvidenskab, ph.d.;;;;;;
5062;"9258";5;Dr.polit.;;;;;;
5063;"803940";3;Psykologi, Ph.d.;;;;;;
5064;"80394010";4;Psykologi, Ph.d.;;;;;;
5065;"7160";5;Psykologi, ph.d.;;;;;;
5066;"803945";3;Sociologi, Ph.d.;;;;;;
5067;"80394510";4;Sociologi, Ph.d.;;;;;;
5068;"7140";5;Sociologi, ph.d.;;;;;;
5069;"80394515";4;Kultursociologi, Ph.d.;;;;;;
5070;"7365";5;Kultursociologi, ph.d.;;;;;;
5071;"803950";3;Økonomi, Ph.d.;;;;;;
5072;"80395010";4;Økonomi, Ph.d.;;;;;;
5073;"7070";5;Økonomi, ph.d.;;;;;;
5074;"9269";5;Dr.oecon.;;;;;;
5075;"803955";3;Erhvervsøkonomi uden nærmere angivelse, Ph.d.;;;;;;
5076;"80395510";4;Erhvervsøkonomi uden nærmere angivelse, Ph.d.;;;;;;
5077;"5705";5;Erhvervsøkonomi, ph.d.;;;;;;
5078;"8059";2;Teknisk videnskab, Ph.d.;;;;;;
5079;"805910";3;Teknisk videnskab uden nærmere angivelse, Ph.d.;;;;;;
5080;"80591010";4;Teknisk videnskab uden nærmere angivelse, Ph.d.;;;;;;
5081;"0726";5;Teknisk, ivu (ph.d.);;;;;;
5082;"5399";5;Teknisk videnskab, ph.d.;;;;;;
5083;"9518";5;Dr.techn.;;;;;;
5084;"805945";3;Landinspektørvidenskab, Ph.d.;;;;;;
5085;"80594510";4;Landinspektørvidenskab, Ph.d.;;;;;;
5086;"9502";5;Landinspektør, lic.geom.;;;;;;
5087;"8080";2;Jordbrug, natur og miljø, Ph.d.;;;;;;
5088;"808010";3;Jordbrug, natur og miljø uden nærmere angivelse, Ph.d.;;;;;;
5089;"80801010";4;Jordbrug, natur og miljø uden nærmere angivelse, Ph.d.;;;;;;
5090;"0728";5;Jordbrugsvidenskab, ivu (ph.d.);;;;;;
5091;"5417";5;Veterinær- og jordbrugsvidenskab, ph.d.;;;;;;
