SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
122;"2151";4;Ingeniørarbejde inden for elektricitet;;;;;;
123;"215100";5;Ingeniørarbejde inden for elektricitet;;;;;;
124;"2152";4;Ingeniørarbejde inden for elektronik;;;;;;
125;"215200";5;Ingeniørarbejde inden for elektronik;;;;;;
126;"2153";4;Ingeniørarbejde inden for telekommunikation;;;;;;
127;"215300";5;Ingeniørarbejde inden for telekommunikation;;;;;;
128;"216";3;Arbejde med arkitektur, infrastruktur og design;;;;;;
129;"2161";4;Arbejde med bygningsarkitektur;;;;;;
130;"216100";5;Arbejde med bygningsarkitektur;;;;;;
131;"2162";4;Arbejde med landskabsarkitektur;;;;;;
132;"216200";5;Arbejde med landskabsarkitektur;;;;;;
133;"2163";4;Arbejde med produkt- og tøjdesign;;;;;;
134;"216300";5;Arbejde med produkt- og tøjdesign;;;;;;
135;"2164";4;Arbejde med by- og trafikplanlægning;;;;;;
136;"216400";5;Arbejde med by- og trafikplanlægning;;;;;;
137;"2165";4;Arbejde med kartografi og landinspektørarbejde;;;;;;
138;"216500";5;Arbejde med kartografi og landinspektørarbejde;;;;;;
139;"2166";4;Arbejde med grafisk og multimediedesign;;;;;;
140;"216600";5;Arbejde med grafisk og multimediedesign;;;;;;
141;"22";2;Arbejde inden for sundhedsområdet;;;;;;
142;"221";3;Lægearbejde;;;;;;
143;"2211";4;Almindeligt lægearbejde;;;;;;
144;"221100";5;Almindeligt lægearbejde;;;;;;
145;"2212";4;Speciallægearbejde;;;;;;
146;"221200";5;Speciallægearbejde;;;;;;
147;"222";3;Sygeplejerske- og jordemoderarbejde;;;;;;
148;"2221";4;Sygeplejerskearbejde;;;;;;
149;"222110";5;Sygeplejerskearbejde, basisfunktioner;;;;;;
150;"222120";5;Sygeplejerskearbejde, specialfunktioner;;;;;;
151;"222130";5;Sundhedsplejerskearbejde;;;;;;
152;"2222";4;Jordemoderarbejde;;;;;;
153;"222200";5;Jordemoderarbejde;;;;;;
154;"223";3;Arbejde inden for naturmedicin og alternativ behandling;;;;;;
155;"2230";4;Arbejde inden for naturmedicin og alternativ behandling;;;;;;
156;"223000";5;Arbejde inden for naturmedicin og alternativ behandling;;;;;;
157;"224";3;Paramedicinsk arbejde;;;;;;
158;"2240";4;Paramedicinsk arbejde;;;;;;
159;"224000";5;Paramedicinsk arbejde;;;;;;
160;"225";3;Dyrlægearbejde;;;;;;
161;"2250";4;Dyrlægearbejde;;;;;;
162;"225000";5;Dyrlægearbejde;;;;;;
163;"226";3;Andet sundhedsarbejde;;;;;;
164;"2261";4;Tandlægearbejde;;;;;;
165;"226100";5;Tandlægearbejde;;;;;;
166;"2262";4;Farmaceutarbejde;;;;;;
167;"226200";5;Farmaceutarbejde;;;;;;
168;"2263";4;Arbejde inden for arbejdsmiljø og hygiejne;;;;;;
169;"226300";5;Arbejde inden for arbejdsmiljø og hygiejne;;;;;;
170;"2264";4;Fysioterapeut- og afspændingspædagogarbejde;;;;;;
171;"226410";5;Fysioterapeutarbejde;;;;;;
172;"226420";5;Afspændingspædagogarbejde;;;;;;
173;"2265";4;Kost- og ernæringsarbejde;;;;;;
174;"226510";5;Kost- og ernæringsarbejde, basisfunktioner;;;;;;
175;"226520";5;Kost- og ernæringsarbejde, specialfunktioner;;;;;;
176;"2266";4;Arbejde inden for audiologi og logopædi;;;;;;
177;"226610";5;Arbejde inden for audiologi;;;;;;
178;"226620";5;Arbejde inden for logopædi;;;;;;
179;"2267";4;Optiker/optometristarbejde;;;;;;
180;"226700";5;Optiker/optometristarbejde;;;;;;
181;"2269";4;Sundhedsarbejde ikke klassificeret andetsteds;;;;;;
182;"226910";5;Ergoterapeutarbejde;;;;;;
183;"226920";5;Fodterapeutarbejde;;;;;;
184;"226930";5;Kiropraktikerarbejde;;;;;;
185;"226990";5;Sundhedsarbejde ikke klassificeret andetsteds;;;;;;
186;"23";2;Undervisning og pædagogisk arbejde;;;;;;
187;"231";3;Undervisning og forskning ved universiteter og højere læreanstalter;;;;;;
